,year_make,model_trim,price,state,miles,source,type
98,2019 Audi ,missing,43996,missing,19397.0,sonic,sedan
99,2021 Audi ,missing,49996,missing,7278.0,sonic,sedan
100,2018 Audi ,missing,35999,missing,17242.0,sonic,sedan
101,2018 Audi ,missing,32996,missing,38784.0,sonic,sedan
102,2018 Audi ,missing,31598,missing,36185.0,sonic,sedan
103,2017 Audi ,missing,24999,missing,64241.0,sonic,sedan
104,2019 Audi ,missing,49698,missing,20530.0,sonic,sedan
105,2019 Audi ,missing,49999,missing,21668.0,sonic,sedan
106,2018 Audi ,missing,35499,missing,40424.0,sonic,sedan
107,2018 Audi ,missing,Please Call,missing,21725.0,sonic,sedan
108,2017 Audi ,missing,26999,missing,43335.0,sonic,sedan
109,2017 Audi ,missing,32599,missing,39842.0,sonic,sedan
110,2019 Audi ,missing,57998,missing,16950.0,sonic,sedan
111,2017 Audi ,missing,32996,missing,49736.0,sonic,sedan
112,2018 Audi ,missing,32996,missing,36271.0,sonic,sedan
113,2021 Audi ,missing,51999,missing,2463.0,sonic,sedan
114,2016 Audi ,missing,42999,missing,17543.0,sonic,sedan
115,2016 Audi ,missing,37999,missing,47591.0,sonic,sedan
116,2016 Audi ,missing,38999,missing,49821.0,sonic,sedan
117,2017 Audi ,missing,44499,missing,30635.0,sonic,sedan
118,2016 Audi ,missing,30999,missing,100184.0,sonic,sedan
119,2016 Audi ,missing,30999,missing,100184.0,sonic,sedan
120,2017 Audi ,missing,34996,missing,51771.0,sonic,sedan
121,2020 Audi ,missing,75998,missing,9599.0,sonic,sedan
122,2017 Audi ,missing,45998,missing,29439.0,sonic,sedan
123,2013 Audi ,missing,23999,missing,74815.0,sonic,sedan
124,2015 Audi ,missing,32998,missing,52647.0,sonic,sedan
125,2020 Audi ,missing,79996,missing,3187.0,sonic,sedan
126,2018 Audi ,missing,45996,missing,54558.0,sonic,sedan
127,2018 Audi ,missing,54499,missing,33012.0,sonic,sedan
128,2014 Audi ,missing,54999,missing,48433.0,sonic,sedan
129,2016 Audi ,missing,27999,missing,52243.0,sonic,sedan
130,2015 Audi ,missing,34999,missing,20310.0,sonic,sedan
131,2013 Audi ,missing,16998,missing,118437.0,sonic,sedan
132,2018 Audi ,missing,40499,missing,43644.0,sonic,sedan
133,2020 Audi ,missing,54999,missing,7306.0,sonic,sedan
134,2020 Audi ,missing,55996,missing,4707.0,sonic,sedan
135,2020 Audi ,missing,60998,missing,4904.0,sonic,sedan
136,2019 Audi ,missing,47999,missing,6030.0,sonic,sedan
137,2019 Audi ,missing,49999,missing,10708.0,sonic,sedan
138,2018 Audi ,missing,38997,missing,32278.0,sonic,sedan
139,2016 Audi ,missing,26599,missing,93336.0,sonic,sedan
140,2016 Audi ,missing,28599,missing,66766.0,sonic,sedan
141,2014 Audi ,missing,23999,missing,84829.0,sonic,sedan
142,2018 Audi ,missing,42998,missing,60957.0,sonic,sedan
143,2018 Audi ,missing,51998,missing,19955.0,sonic,sedan
144,2016 Audi ,missing,37497,missing,56779.0,sonic,sedan
145,2014 Audi ,missing,30999,missing,54004.0,sonic,sedan
146,2017 Audi ,missing,48999,missing,47201.0,sonic,sedan
147,2021 BMW ,missing,39600,missing,5500.0,sonic,sedan
148,2021 BMW ,missing,38261,missing,7.0,sonic,sedan
149,2021 BMW ,missing,38791,missing,6.0,sonic,sedan
150,2021 BMW ,missing,41143,missing,8.0,sonic,sedan
151,2021 BMW ,missing,43205,missing,6.0,sonic,sedan
152,2021 BMW ,missing,40651,missing,20.0,sonic,sedan
153,2021 BMW ,missing,40103,missing,3.0,sonic,sedan
154,2021 BMW ,missing,40774,missing,7.0,sonic,sedan
155,2021 BMW ,missing,39231,missing,10.0,sonic,sedan
156,2021 BMW ,missing,38211,missing,10.0,sonic,sedan
157,2021 BMW ,missing,41343,missing,2100.0,sonic,sedan
158,2021 BMW ,missing,39399,missing,17.0,sonic,sedan
159,2021 BMW ,missing,36041,missing,7390.0,sonic,sedan
160,2021 BMW ,missing,42381,missing,19.0,sonic,sedan
161,2021 BMW ,missing,41215,missing,2100.0,sonic,sedan
162,2021 BMW ,missing,Please Call,missing,4358.0,sonic,sedan
163,2021 BMW ,missing,41744,missing,4197.0,sonic,sedan
164,2021 BMW ,missing,40265,missing,6.0,sonic,sedan
165,2021 BMW ,missing,39815,missing,6.0,sonic,sedan
166,2021 BMW ,missing,40141,missing,12.0,sonic,sedan
167,2021 BMW ,missing,39744,missing,4590.0,sonic,sedan
168,2021 BMW ,missing,38645,missing,6.0,sonic,sedan
169,2021 BMW ,missing,45261,missing,2100.0,sonic,sedan
170,2021 BMW ,missing,39744,missing,4031.0,sonic,sedan
171,2021 BMW ,missing,39571,missing,11.0,sonic,sedan
172,2021 BMW ,missing,39611,missing,20.0,sonic,sedan
173,2021 BMW ,missing,40703,missing,1354.0,sonic,sedan
174,2021 BMW ,missing,41843,missing,2100.0,sonic,sedan
175,2021 BMW ,missing,39794,missing,56.0,sonic,sedan
176,2021 BMW ,missing,40044,missing,4777.0,sonic,sedan
177,2021 BMW ,missing,40044,missing,3884.0,sonic,sedan
178,2021 BMW ,missing,40244,missing,2954.0,sonic,sedan
179,2021 BMW ,missing,40244,missing,2594.0,sonic,sedan
180,2021 BMW ,missing,39744,missing,1980.0,sonic,sedan
181,2021 BMW ,missing,39571,missing,3845.0,sonic,sedan
182,2021 BMW ,missing,44443,missing,2100.0,sonic,sedan
183,2021 BMW ,missing,39491,missing,6250.0,sonic,sedan
184,2022 BMW ,missing,Please Call,missing,5.0,sonic,sedan
185,2021 BMW ,missing,39451,missing,6964.0,sonic,sedan
186,2021 BMW ,missing,37291,missing,4968.0,sonic,sedan
187,2021 BMW ,missing,40052,missing,7.0,sonic,sedan
188,2021 BMW ,missing,42793,missing,13.0,sonic,sedan
189,2021 BMW ,missing,39323,missing,3455.0,sonic,sedan
190,2021 BMW ,missing,Please Call,missing,7.0,sonic,sedan
191,2021 BMW ,missing,39283,missing,7.0,sonic,sedan
192,2021 BMW ,missing,40413,missing,11.0,sonic,sedan
193,2021 BMW ,missing,40413,missing,7.0,sonic,sedan
194,2021 BMW ,missing,39794,missing,4365.0,sonic,sedan
195,2021 BMW ,missing,39523,missing,2920.0,sonic,sedan
196,2021 BMW ,missing,40373,missing,7.0,sonic,sedan
197,2021 BMW ,missing,40563,missing,9.0,sonic,sedan
198,2021 BMW ,missing,37642,missing,5186.0,sonic,sedan
199,2021 BMW ,missing,40642,missing,3.0,sonic,sedan
200,2021 BMW ,missing,38672,missing,4443.0,sonic,sedan
201,2021 BMW ,missing,39992,missing,13.0,sonic,sedan
202,2021 BMW ,missing,39391,missing,6020.0,sonic,sedan
203,2021 BMW ,missing,40941,missing,12.0,sonic,sedan
204,2021 BMW ,missing,38891,missing,5827.0,sonic,sedan
205,2021 BMW ,missing,46490,missing,4496.0,sonic,sedan
206,2020 BMW ,missing,32597,missing,26063.0,sonic,sedan
207,2021 BMW ,missing,38493,missing,6227.0,sonic,sedan
208,2021 BMW ,missing,45641,missing,2219.0,sonic,sedan
209,2021 BMW ,missing,33714,missing,7404.0,sonic,sedan
210,2021 BMW ,missing,36393,missing,7522.0,sonic,sedan
211,2021 BMW ,missing,40634,missing,5501.0,sonic,sedan
212,2021 BMW ,missing,40594,missing,5501.0,sonic,sedan
213,2021 BMW ,missing,34884,missing,5988.0,sonic,sedan
214,2021 BMW ,missing,38754,missing,7267.0,sonic,sedan
215,2021 BMW ,missing,36174,missing,7002.0,sonic,sedan
216,2021 BMW ,missing,34554,missing,6841.0,sonic,sedan
217,2021 BMW ,missing,44391,missing,6050.0,sonic,sedan
218,2011 BMW ,missing,10499,missing,91021.0,sonic,sedan
219,2021 BMW ,missing,45600,missing,5400.0,sonic,sedan
220,2021 BMW ,missing,49600,missing,4500.0,sonic,sedan
221,2018 BMW ,missing,31999,missing,31092.0,sonic,sedan
222,2018 BMW ,missing,25895,missing,35197.0,sonic,sedan
223,2018 BMW ,missing,34396,missing,49149.0,sonic,sedan
224,2018 BMW ,missing,27397,missing,44871.0,sonic,sedan
225,2014 BMW ,missing,15398,missing,83456.0,sonic,sedan
226,2017 BMW ,missing,18499,missing,81648.0,sonic,sedan
227,2015 BMW ,missing,15999,missing,70669.0,sonic,sedan
228,2015 BMW ,missing,15999,missing,75280.0,sonic,sedan
229,2018 BMW ,missing,26999,missing,35031.0,sonic,sedan
230,2018 BMW ,missing,28597,missing,32592.0,sonic,sedan
231,2018 BMW ,missing,28597,missing,25054.0,sonic,sedan
232,2018 BMW ,missing,27798,missing,34900.0,sonic,sedan
233,2017 BMW ,missing,22999,missing,41808.0,sonic,sedan
234,2018 BMW ,missing,26999,missing,22812.0,sonic,sedan
235,2018 BMW ,missing,28399,missing,27440.0,sonic,sedan
236,2018 BMW ,missing,27999,missing,12470.0,sonic,sedan
237,2018 BMW ,missing,24496,missing,42527.0,sonic,sedan
238,2018 BMW ,missing,25999,missing,26040.0,sonic,sedan
239,2018 BMW ,missing,28798,missing,12207.0,sonic,sedan
240,2018 BMW ,missing,27798,missing,26077.0,sonic,sedan
241,2018 BMW ,missing,25499,missing,28188.0,sonic,sedan
242,2018 BMW ,missing,26999,missing,32136.0,sonic,sedan
243,2018 BMW ,missing,28499,missing,29564.0,sonic,sedan
244,2018 BMW ,missing,23396,missing,26099.0,sonic,sedan
245,2018 BMW ,missing,23196,missing,29222.0,sonic,sedan
246,2018 BMW ,missing,27999,missing,18150.0,sonic,sedan
247,2018 BMW ,missing,27999,missing,14353.0,sonic,sedan
248,2018 BMW ,missing,25999,missing,11691.0,sonic,sedan
249,2018 BMW ,missing,24496,missing,33584.0,sonic,sedan
250,2018 BMW ,missing,22997,missing,33590.0,sonic,sedan
251,2018 BMW ,missing,22997,missing,33110.0,sonic,sedan
252,2018 BMW ,missing,24497,missing,43793.0,sonic,sedan
253,2018 BMW ,missing,25997,missing,25372.0,sonic,sedan
254,2018 BMW ,missing,24297,missing,47997.0,sonic,sedan
255,2018 BMW ,missing,27488,missing,8961.0,sonic,sedan
256,2018 BMW ,missing,24598,missing,26414.0,sonic,sedan
257,2018 BMW ,missing,25998,missing,32607.0,sonic,sedan
258,2018 BMW ,missing,27197,missing,17643.0,sonic,sedan
259,2018 BMW ,missing,26498,missing,19730.0,sonic,sedan
260,2017 BMW ,missing,20998,missing,44371.0,sonic,sedan
261,2016 BMW ,missing,17999,missing,45500.0,sonic,sedan
262,2014 BMW ,missing,14598,missing,69999.0,sonic,sedan
263,2018 BMW ,missing,27398,missing,39460.0,sonic,sedan
264,2018 BMW ,missing,28999,missing,49033.0,sonic,sedan
265,2014 BMW ,missing,16499,missing,67427.0,sonic,sedan
266,2016 BMW ,missing,19298,missing,76755.0,sonic,sedan
267,2016 BMW ,missing,20999,missing,52118.0,sonic,sedan
268,2016 BMW ,missing,16999,missing,80020.0,sonic,sedan
269,2016 BMW ,missing,19999,missing,51609.0,sonic,sedan
270,2016 BMW ,missing,19999,missing,64100.0,sonic,sedan
271,2016 BMW ,missing,17298,missing,104565.0,sonic,sedan
272,2016 BMW ,missing,17997,missing,79815.0,sonic,sedan
273,2014 BMW ,missing,17608,missing,63974.0,sonic,sedan
274,2014 BMW ,missing,11696,missing,122014.0,sonic,sedan
275,2013 BMW ,missing,13999,missing,88137.0,sonic,sedan
276,2013 BMW ,missing,14999,missing,71074.0,sonic,sedan
277,2013 BMW ,missing,14398,missing,69750.0,sonic,sedan
278,2013 BMW ,missing,12798,missing,98922.0,sonic,sedan
279,2008 BMW ,missing,6999,missing,106984.0,sonic,sedan
280,2007 BMW ,missing,7999,missing,92237.0,sonic,sedan
281,2017 BMW ,missing,23999,missing,34719.0,sonic,sedan
282,2018 BMW ,missing,26999,missing,28142.0,sonic,sedan
283,2018 BMW ,missing,29999,missing,12354.0,sonic,sedan
284,2018 BMW ,missing,27999,missing,26275.0,sonic,sedan
285,2018 BMW ,missing,26999,missing,43422.0,sonic,sedan
286,2018 BMW ,missing,29999,missing,25699.0,sonic,sedan
287,2018 BMW ,missing,30299,missing,16627.0,sonic,sedan
288,2018 BMW ,missing,31999,missing,26265.0,sonic,sedan
289,2018 BMW ,missing,29699,missing,29151.0,sonic,sedan
290,2018 BMW ,missing,29999,missing,20809.0,sonic,sedan
291,2018 BMW ,missing,27298,missing,27734.0,sonic,sedan
292,2018 BMW ,missing,29998,missing,29353.0,sonic,sedan
293,2018 BMW ,missing,25888,missing,33564.0,sonic,sedan
294,2021 BMW ,missing,48164,missing,5600.0,sonic,sedan
295,2021 BMW ,missing,50873,missing,9.0,sonic,sedan
296,2021 BMW ,missing,49554,missing,5695.0,sonic,sedan
297,2018 BMW ,missing,29999,missing,9766.0,sonic,sedan
298,2021 BMW ,missing,46821,missing,6.0,sonic,sedan
299,2021 BMW ,missing,43311,missing,7.0,sonic,sedan
300,2021 BMW ,missing,43601,missing,9.0,sonic,sedan
301,2021 BMW ,missing,43311,missing,19.0,sonic,sedan
302,2020 BMW ,missing,42499,missing,10850.0,sonic,sedan
303,2020 BMW ,missing,43165,missing,7.0,sonic,sedan
304,2019 BMW ,missing,37798,missing,14288.0,sonic,sedan
305,2019 BMW ,missing,36798,missing,20798.0,sonic,sedan
306,2018 BMW ,missing,31798,missing,35467.0,sonic,sedan
307,2017 BMW ,missing,28798,missing,48209.0,sonic,sedan
308,2021 BMW ,missing,42051,missing,2388.0,sonic,sedan
309,2021 BMW ,missing,46014,missing,7.0,sonic,sedan
310,2021 BMW ,missing,47722,missing,9.0,sonic,sedan
311,2021 BMW ,missing,45162,missing,10.0,sonic,sedan
312,2021 BMW ,missing,45163,missing,10.0,sonic,sedan
313,2021 BMW ,missing,43286,missing,3183.0,sonic,sedan
314,2021 BMW ,missing,44883,missing,8.0,sonic,sedan
315,2021 BMW ,missing,45413,missing,8.0,sonic,sedan
316,2021 BMW ,missing,47690,missing,12.0,sonic,sedan
317,2021 BMW ,missing,45094,missing,13.0,sonic,sedan
318,2021 BMW ,missing,46694,missing,7.0,sonic,sedan
319,2021 BMW ,missing,51580,missing,8.0,sonic,sedan
320,2021 BMW ,missing,44894,missing,7.0,sonic,sedan
321,2021 BMW ,missing,45224,missing,7.0,sonic,sedan
322,2021 BMW ,missing,44594,missing,9.0,sonic,sedan
323,2021 BMW ,missing,45343,missing,21.0,sonic,sedan
324,2021 BMW ,missing,45220,missing,1004.0,sonic,sedan
325,2021 BMW ,missing,45301,missing,7.0,sonic,sedan
326,2021 BMW ,missing,44319,missing,8237.0,sonic,sedan
327,2021 BMW ,missing,44269,missing,7946.0,sonic,sedan
328,2021 BMW ,missing,43719,missing,5280.0,sonic,sedan
329,2021 BMW ,missing,45434,missing,7879.0,sonic,sedan
330,2021 BMW ,missing,43934,missing,6849.0,sonic,sedan
331,2021 BMW ,missing,44901,missing,2976.0,sonic,sedan
332,2021 BMW ,missing,46181,missing,7.0,sonic,sedan
333,2021 BMW ,missing,47541,missing,8.0,sonic,sedan
334,2021 BMW ,missing,45681,missing,458.0,sonic,sedan
335,2021 BMW ,missing,47729,missing,11.0,sonic,sedan
336,2021 BMW ,missing,42894,missing,2.0,sonic,sedan
337,2021 BMW ,missing,44420,missing,2100.0,sonic,sedan
338,2021 BMW ,missing,43371,missing,12.0,sonic,sedan
339,2021 BMW ,missing,44770,missing,2100.0,sonic,sedan
340,2021 BMW ,missing,44561,missing,15.0,sonic,sedan
341,2021 BMW ,missing,45260,missing,9.0,sonic,sedan
342,2021 BMW ,missing,44720,missing,2100.0,sonic,sedan
343,2021 BMW ,missing,43911,missing,10.0,sonic,sedan
344,2021 BMW ,missing,46130,missing,12.0,sonic,sedan
345,2021 BMW ,missing,43861,missing,12.0,sonic,sedan
346,2021 BMW ,missing,43420,missing,7.0,sonic,sedan
