,year_make,model_trim,price,state,miles,source
112,2019 Audi ,missing,39999,missing,25727.0,sonic
113,2019 Audi ,missing,41998,missing,11410.0,sonic
114,2019 Audi ,missing,39499,missing,27228.0,sonic
115,2018 Audi ,missing,34996,missing,20352.0,sonic
116,2018 Audi ,missing,36999,missing,20540.0,sonic
117,2018 Audi ,missing,35599,missing,43732.0,sonic
118,2018 Audi ,missing,36999,missing,29170.0,sonic
119,2018 Audi ,missing,35999,missing,35792.0,sonic
120,2018 Audi ,missing,36999,missing,14796.0,sonic
121,2018 Audi ,missing,29999,missing,74187.0,sonic
122,2018 Audi ,missing,31998,missing,49084.0,sonic
123,2018 Audi ,missing,34998,missing,18565.0,sonic
124,2018 Audi ,missing,34998,missing,47223.0,sonic
125,2018 Audi ,missing,35498,missing,17775.0,sonic
126,2018 Audi ,missing,35998,missing,33161.0,sonic
127,2018 Audi ,missing,37998,missing,26940.0,sonic
128,2017 Audi ,missing,26999,missing,50856.0,sonic
129,2017 Audi ,missing,24998,missing,61434.0,sonic
130,2016 Audi ,missing,22999,missing,75974.0,sonic
131,2015 Audi ,missing,18498,missing,101932.0,sonic
132,2014 Audi ,missing,18999,missing,86518.0,sonic
133,2014 Audi ,missing,16999,missing,71969.0,sonic
134,2018 Audi ,missing,35998,missing,51261.0,sonic
135,2018 Audi ,missing,38999,missing,24922.0,sonic
136,2018 Audi ,missing,38998,missing,37244.0,sonic
137,2018 Audi ,missing,30598,missing,33042.0,sonic
138,2018 Audi ,missing,29999,missing,47849.0,sonic
139,2018 Audi ,missing,31999,missing,32937.0,sonic
140,2018 Audi ,missing,33997,missing,40226.0,sonic
141,2018 Audi ,missing,34499,missing,39582.0,sonic
142,2018 Audi ,missing,32998,missing,40307.0,sonic
143,2018 Audi ,missing,37999,missing,17150.0,sonic
144,2018 Audi ,missing,34999,missing,52416.0,sonic
145,2018 Audi ,missing,41196,missing,65506.0,sonic
146,2018 Audi ,missing,37996,missing,51041.0,sonic
147,2017 Audi ,missing,31497,missing,90820.0,sonic
148,2015 Audi ,missing,19999,missing,112753.0,sonic
149,2015 Audi ,missing,28596,missing,65568.0,sonic
150,2014 Audi ,missing,19999,missing,95866.0,sonic
151,2020 Audi ,missing,Please Call,missing,2826.0,sonic
152,2019 Audi ,missing,49999,missing,18310.0,sonic
153,2019 Audi ,missing,45999,missing,27812.0,sonic
154,2019 Audi ,missing,51999,missing,8261.0,sonic
155,2019 Audi ,missing,43999,missing,34480.0,sonic
156,2018 Audi ,missing,43999,missing,30628.0,sonic
157,2018 Audi ,missing,42598,missing,28203.0,sonic
158,2021 Audi ,missing,57999,missing,12997.0,sonic
159,2021 Audi ,missing,62996,missing,11247.0,sonic
160,2021 Audi ,missing,Please Call,missing,6495.0,sonic
161,2020 Audi ,missing,55999,missing,27462.0,sonic
162,2018 Audi ,missing,44997,missing,41000.0,sonic
163,2018 Audi ,missing,43998,missing,52021.0,sonic
164,2017 Audi ,missing,33999,missing,63145.0,sonic
165,2017 Audi ,missing,38988,missing,33252.0,sonic
166,2020 Audi ,missing,68999,missing,25902.0,sonic
