,year_make,model_trim,price,state,miles,source
74, 2015 Acura MDX, FWD 4dr Advance/Entertainment Pkg ,22998,AZ,80000.0,autonation
75, 2016 Acura RDX, FWD 4dr Tech Pkg ,21598,AZ,63000.0,autonation
76, 2010 Acura MDX, AWD 4dr Technology/Entertainment Pkg ,12669,WA,142000.0,autonation
77, 2012 Acura MDX, AWD 4dr Tech Pkg ,16551,WA,101000.0,autonation
78, 2011 Acura RDX, FWD 4dr ,9995,WA,137000.0,autonation
79, 2018 Acura MDX, SH-AWD w/Technology Pkg ,31591,WA,74000.0,autonation
80, 2016 Acura MDX, SH-AWD 4dr w/Advance ,28995,NV,47000.0,autonation
81, 2012 Acura MDX, AWD 4dr ,17499,NV,86000.0,autonation
82, 2020 Acura RDX, FWD w/Technology Pkg ,36845,NV,17000.0,autonation
83, 2016 Acura MDX, SH-AWD 4dr w/Advance ,27998,NV,51000.0,autonation
84, 2018 Acura MDX, FWD ,31250,CA,35000.0,autonation
85, 2019 Acura MDX, FWD w/Technology Pkg ,38987,CA,24000.0,autonation
86, 2011 Acura MDX, AWD 4dr Tech/Entertainment Pkg ,18866,WA,61000.0,autonation
87, 2016 Acura MDX, SH-AWD 4dr w/Advance/Entertainment ,28991,WA,59000.0,autonation
88, 2019 Acura RDX, AWD w/Advance Pkg ,40901,WA,25000.0,autonation
89, 2014 Acura RDX, AWD 4dr Tech Pkg ,16675,WA,108000.0,autonation
90, 2019 Acura MDX, FWD ,34899,WA,34000.0,autonation
91, 2014 Acura MDX, SH-AWD 4dr ,21495,WA,94000.0,autonation
92, 2014 Acura RDX, AWD 4dr Tech Pkg ,21595,WA,58000.0,autonation
93, 2018 Acura MDX, SH-AWD ,32480,CA,36000.0,autonation
94, 2019 Acura RDX, FWD w/Technology Pkg ,32985,CA,19000.0,autonation
95, 2019 Acura MDX, SH-AWD w/Advance/Entertainment Pkg ,40895,CA,37000.0,autonation
96, 2013 Acura RDX, FWD 4dr Tech Pkg ,16980,CA,76000.0,autonation
97, 2017 Acura MDX, FWD ,29930,CA,54000.0,autonation
98, 2018 Acura RDX, FWD ,24499,CA,52000.0,autonation
99, 2012 Acura MDX, AWD 4dr Tech Pkg ,14895,CA,118000.0,autonation
100, 2015 Acura RDX, FWD 4dr Tech Pkg ,21469,CA,49000.0,autonation
101, 2008 Acura MDX, 4WD 4dr Sport/Entertainment Pkg ,9959,CA,126000.0,autonation
102, 2021 Acura RDX, SH-AWD w/A-Spec Package ,42490,CA,8000.0,autonation
103, 2019 Acura MDX, FWD w/Technology Pkg ,38995,CA,13000.0,autonation
104, 2018 Acura MDX, SH-AWD ,33000,CA,31000.0,autonation
105, 2021 Acura RDX, FWD w/Technology Package ,39498,CA,10000.0,autonation
106, 2007 Acura MDX, 4WD 4dr Tech Pkg ,10992,CA,102000.0,autonation
107, 2011 Acura MDX, AWD 4dr Tech Pkg ,13990,CA,123000.0,autonation
108, 2013 Acura RDX, FWD 4dr Tech Pkg ,17990,CA,79000.0,autonation
109, 2014 Acura RDX, FWD 4dr ,17574,CA,76000.0,autonation
110, 2019 Acura RDX, FWD w/Technology Pkg ,33295,CA,29000.0,autonation
111, 2016 Acura MDX, FWD 4dr w/Tech ,24991,CA,60000.0,autonation
112, 2009 Acura MDX, AWD 4dr Tech/Entertainment Pkg ,13881,CA,112000.0,autonation
113, 2019 Acura RDX, AWD w/A-Spec Pkg ,38490,CA,32000.0,autonation
114, 2019 Acura RDX, AWD w/Technology Pkg ,37499,CA,21000.0,autonation
115, 2018 Acura MDX, SH-AWD w/Technology Pkg ,36986,CA,26000.0,autonation
116, 2008 Acura RDX, 4WD 4dr Tech Pkg ,7998,CA,155000.0,autonation
117, 2019 Acura RDX, AWD ,33952,CA,26000.0,autonation
118, 2002 Acura MDX, 4dr SUV w/Navigation ,4599,CA,218000.0,autonation
119, 2013 Acura RDX, FWD 4dr ,19995,CA,62000.0,autonation
120, 2014 Acura MDX, SH-AWD 4dr Tech Pkg ,26499,CA,51000.0,autonation
121, 2018 Acura RDX, FWD w/Technology Pkg ,26995,CA,35000.0,autonation
122, 2014 Acura MDX, SH-AWD 4dr Advance/Entertainment Pkg ,21996,CA,96000.0,autonation
123, 2018 Acura MDX, SH-AWD ,34595,CA,24000.0,autonation
124, 2019 Acura RDX, FWD ,29596,CA,49000.0,autonation
125, 2019 Acura MDX, SH-AWD w/Technology Pkg ,41996,CA,18000.0,autonation
126, 2020 Acura RDX, FWD w/Technology Pkg ,37996,CA,24000.0,autonation
127, 2020 Acura RDX, FWD w/Technology Pkg ,37996,CA,27000.0,autonation
128, 2018 Acura MDX, SH-AWD w/Technology Pkg ,35978,CA,23000.0,autonation
129, 2018 Alfa Romeo Stelvio, Ti Lusso AWD ,34995,FL,33000.0,autonation
130, 2018 Alfa Romeo Stelvio, Ti Sport AWD ,31291,FL,19000.0,autonation
131, 2018 Alfa Romeo Stelvio, Sport AWD ,28949,TX,36000.0,autonation
132, 2019 Alfa Romeo Stelvio, Quadrifoglio AWD ,67499,CO,17000.0,autonation
133, 2018 Alfa Romeo Stelvio, Ti Sport AWD ,36999,CO,14000.0,autonation
134, 2018 Alfa Romeo Stelvio, Sport AWD ,32999,CO,20000.0,autonation
135, 2018 Alfa Romeo Stelvio, Ti Sport AWD ,32589,CO,39000.0,autonation
136, 2018 Alfa Romeo Stelvio, AWD ,26998,AZ,28000.0,autonation
137, 2020 Alfa Romeo Stelvio, RWD ,35895,CA,9000.0,autonation
138, 2020 Alfa Romeo Stelvio, RWD ,37980,CA,8000.0,autonation
139, 2015 Audi Q7, quattro 4dr 3.0L TDI Prestige ,19298,MD,154000.0,autonation
140, 2018 Audi Q5, 2.0 TFSI Premium Plus ,33995,MD,34000.0,autonation
141, 2018 Audi Q5, 2.0 TFSI Premium ,32246,MD,39000.0,autonation
142, 2018 Audi Q5, 2.0 TFSI Premium Plus ,33995,MD,45000.0,autonation
143, 2018 Audi SQ5, 3.0 TFSI Premium Plus ,43998,MD,30000.0,autonation
144, 2018 Audi Q5, 2.0 TFSI Premium Plus ,34999,MD,26000.0,autonation
145, 2019 Audi Q5, Premium Plus 45 TFSI quattro ,35999,MD,50000.0,autonation
146, 2019 Audi Q8, Prestige 55 TFSI quattro ,69757,MD,28000.0,autonation
