,year_make,model_trim,price,state,miles,source
107,2017 Acura,RDX AWD,20998,KS,119000.0,carmax
108,2018 Acura,MDX ,38998,MO,24000.0,carmax
109,2019 Acura,MDX ,36998,FL,21000.0,carmax
110,2020 Acura,RDX ,37998,FL,24000.0,carmax
111,2019 Acura,MDX ,35998,FL,22000.0,carmax
112,2018 Acura,MDX ,36998,FL,14000.0,carmax
113,2012 Acura,MDX ,18998,FL,104000.0,carmax
114,2019 Acura,RDX ,32998,FL,33000.0,carmax
115,2018 Acura,MDX ,33998,FL,23000.0,carmax
116,2018 Acura,RDX ,25998,FL,50000.0,carmax
117,2020 Acura,RDX ,34998,FL,20000.0,carmax
118,2018 Acura,MDX ,32998,FL,47000.0,carmax
119,2016 Acura,MDX ,29998,LA,60000.0,carmax
120,2019 Acura,RDX ,40998,OK,16000.0,carmax
121,2016 Acura,MDX ,30998,OK,51000.0,carmax
122,2019 Acura,RDX ,38998,OK,15000.0,carmax
123,2015 Acura,MDX ,23998,OK,89000.0,carmax
124,2016 Acura,MDX ,29998,TX,57000.0,carmax
125,2016 Acura,MDX ,29998,TX,48000.0,carmax
126,2015 Acura,MDX ,24998,TX,86000.0,carmax
127,2021 Acura,RDX ,41998,TX,8000.0,carmax
128,2019 Acura,MDX ,41998,TX,12000.0,carmax
129,2019 Acura,RDX ,37998,TX,20000.0,carmax
130,2014 Acura,MDX ,20998,TX,105000.0,carmax
131,2010 Acura,ZDX ,16998,CA,120000.0,carmax
132,2014 Acura,MDX ,20998,TX,120000.0,carmax
133,2010 Acura,RDX SH-AWD,14998,WA,107000.0,carmax
134,2012 Acura,MDX Advance,20998,CA,106000.0,carmax
135,2012 Acura,RDX ,17998,CA,79000.0,carmax
136,2011 Acura,RDX ,16998,TX,77000.0,carmax
137,2019 Acura,MDX Sport Hybrid Advance,47998,CA,18000.0,carmax
138,2015 Acura,MDX ,23998,AZ,95000.0,carmax
139,2018 Acura,RDX ,24998,CA,74000.0,carmax
140,2013 Acura,MDX ,23998,CA,60000.0,carmax
141,2016 Acura,MDX ,25998,CA,74000.0,carmax
142,2015 Acura,MDX ,25998,CA,63000.0,carmax
143,2020 Acura,RDX ,38998,CO,22000.0,carmax
144,2015 Acura,MDX Advance,27998,CA,70000.0,carmax
145,2016 Acura,RDX ,25998,TX,56000.0,carmax
146,2020 Acura,RDX ,45998,OR,4000.0,carmax
147,2018 Acura,MDX ,31998,TX,68000.0,carmax
148,2017 Acura,MDX ,30998,AZ,60000.0,carmax
149,2020 Acura,MDX ,41998,TX,6000.0,carmax
150,2019 Acura,MDX ,39998,TX,26000.0,carmax
151,2019 Acura,RDX ,35998,CA,32000.0,carmax
152,2020 Acura,MDX ,44998,CA,6000.0,carmax
153,2020 Acura,MDX Advance,47998,CA,20000.0,carmax
154,2020 Acura,RDX ,39998,CA,24000.0,carmax
155,2019 Acura,RDX ,40998,WA,16000.0,carmax
156,2012 Acura,RDX ,19998,CA,61000.0,carmax
157,2020 Acura,MDX ,38998,CA,14000.0,carmax
158,2020 Acura,RDX ,41998,CA,22000.0,carmax
159,2019 Acura,MDX Advance,37998,CA,38000.0,carmax
160,2020 Acura,RDX ,38998,CA,22000.0,carmax
161,2021 Acura,RDX ,42998,CA,4000.0,carmax
162,2020 Acura,RDX ,40998,CO,22000.0,carmax
163,2020 Acura,RDX ,41998,CA,13000.0,carmax
164,2021 Acura,RDX SH-AWD Advance,47998,OR,5000.0,carmax
165,2020 Acura,RDX ,43998,WA,10000.0,carmax
166,2013 Acura,RDX ,20998,CA,68000.0,carmax
167,2019 Acura,RDX ,39998,CA,15000.0,carmax
168,2015 Acura,RDX ,17998,CA,105000.0,carmax
169,2020 Acura,RDX ,40998,TX,8000.0,carmax
170,2020 Acura,RDX ,37998,CA,22000.0,carmax
171,2019 Acura,RDX ,38998,CA,15000.0,carmax
172,2015 Acura,MDX ,28998,CA,46000.0,carmax
173,2015 Acura,MDX ,27998,WA,59000.0,carmax
174,2019 Acura,MDX ,36998,WA,29000.0,carmax
175,2020 Acura,RDX ,40998,TX,11000.0,carmax
176,2019 Acura,RDX ,36998,CA,19000.0,carmax
177,2012 Acura,RDX ,17998,CA,75000.0,carmax
178,2019 Acura,RDX ,36998,WA,20000.0,carmax
179,2020 Acura,RDX ,36998,TX,20000.0,carmax
180,2021 Acura,RDX ,41998,AZ,4000.0,carmax
181,2021 Acura,RDX ,43998,NV,9000.0,carmax
182,2017 Acura,MDX Advance,35998,AZ,32000.0,carmax
183,2017 Acura,RDX AWD,27998,TX,31000.0,carmax
184,2017 Acura,RDX AWD,23998,CA,83000.0,carmax
185,2020 Acura,RDX ,37998,CA,7000.0,carmax
186,2018 Acura,MDX ,36998,CO,31000.0,carmax
187,2021 Acura,RDX SH-AWD A-Spec,42998,TX,7000.0,carmax
188,2020 Acura,RDX ,37998,TX,11000.0,carmax
189,2018 Acura,MDX ,35998,WA,45000.0,carmax
190,2019 Acura,MDX ,41998,CA,12000.0,carmax
191,2016 Acura,MDX ,27998,TX,55000.0,carmax
192,2016 Acura,MDX ,27998,CO,59000.0,carmax
193,2018 Acura,MDX ,31998,CA,40000.0,carmax
194,2017 Acura,MDX ,32998,ID,49000.0,carmax
195,2016 Acura,MDX ,31998,NV,38000.0,carmax
196,2015 Acura,RDX AWD,26998,UT,40000.0,carmax
197,2016 Acura,MDX Advance,30998,CA,49000.0,carmax
198,2016 Acura,MDX ,27998,CA,49000.0,carmax
199,2019 Acura,RDX ,35998,NV,27000.0,carmax
200,2015 Acura,RDX ,22998,CA,68000.0,carmax
201,2020 Acura,RDX ,37998,CA,11000.0,carmax
202,2018 Acura,MDX ,35998,WA,14000.0,carmax
203,2018 Acura,MDX ,35998,CA,20000.0,carmax
204,2016 Acura,MDX ,29998,CA,38000.0,carmax
205,2020 Acura,RDX ,37998,TX,24000.0,carmax
206,2018 Acura,MDX ,36998,CA,19000.0,carmax
207,2018 Acura,RDX ,25998,WA,50000.0,carmax
208,2017 Acura,RDX ,26998,WA,28000.0,carmax
209,2018 Acura,MDX ,32998,NV,41000.0,carmax
210,2015 Acura,RDX ,22998,CA,56000.0,carmax
211,2017 Acura,RDX AWD,28998,NV,35000.0,carmax
212,2017 Acura,RDX ,26998,CA,32000.0,carmax
213,2018 Acura,MDX ,33998,CA,30000.0,carmax
214,2018 Acura,RDX ,27998,CA,42000.0,carmax
215,2018 Acura,RDX ,29998,NV,22000.0,carmax
216,2018 Acura,RDX ,27998,CA,24000.0,carmax
217,2018 Acura,RDX ,32998,TX,25000.0,carmax
218,2018 Acura,RDX ,27998,WA,29000.0,carmax
219,2010 Acura,MDX ,20998,TX,57000.0,carmax
220,2016 Acura,MDX ,24998,TX,93000.0,carmax
221,2020 Acura,RDX ,37998,CO,15000.0,carmax
222,2016 Acura,MDX ,28998,TX,57000.0,carmax
223,2020 Acura,RDX ,38998,CA,15000.0,carmax
224,2020 Acura,MDX ,39998,CA,19000.0,carmax
225,2019 Acura,MDX ,40998,NV,21000.0,carmax
226,2020 Acura,RDX ,34998,CA,20000.0,carmax
227,2019 Acura,RDX ,36998,TX,23000.0,carmax
228,2019 Acura,RDX ,31998,CA,52000.0,carmax
229,2014 Acura,RDX AWD,22998,WA,58000.0,carmax
230,2018 Acura,MDX ,38998,CO,25000.0,carmax
231,2019 Acura,RDX ,37998,TX,16000.0,carmax
232,2015 Acura,RDX ,18998,CA,75000.0,carmax
233,2018 Acura,RDX ,29998,TX,31000.0,carmax
234,2017 Acura,RDX AWD,29998,CA,15000.0,carmax
235,2018 Acura,RDX ,28998,NV,25000.0,carmax
236,2017 Acura,RDX AWD,28998,PA,26000.0,carmax
237,2012 Acura,MDX ,18998,MD,117000.0,carmax
238,2020 Acura,RDX ,37998,DE,12000.0,carmax
239,2018 Acura,MDX ,35998,PA,27000.0,carmax
240,2018 Acura,RDX ,29998,MD,34000.0,carmax
241,2017 Acura,RDX AWD,26998,CT,59000.0,carmax
242,2015 Acura,RDX AWD,21998,NC,93000.0,carmax
243,2020 Acura,RDX ,39998,OH,27000.0,carmax
244,2016 Acura,RDX AWD,23998,MA,68000.0,carmax
245,2019 Acura,MDX ,40998,NH,23000.0,carmax
246,2017 Acura,MDX ,33998,NC,43000.0,carmax
247,2018 Acura,RDX ,28998,NC,27000.0,carmax
248,2016 Acura,RDX ,26998,NC,30000.0,carmax
249,2021 Acura,RDX SH-AWD A-Spec,47998,NC,9000.0,carmax
250,2014 Acura,RDX AWD,19998,ME,85000.0,carmax
251,2019 Acura,MDX ,38998,SC,31000.0,carmax
252,2018 Acura,RDX ,26998,IN,38000.0,carmax
253,2018 Acura,MDX ,35998,GA,29000.0,carmax
254,2017 Acura,MDX ,29998,IL,76000.0,carmax
255,2018 Acura,MDX Advance,36998,WI,50000.0,carmax
256,2018 Acura,MDX ,35998,TN,31000.0,carmax
257,2009 Acura,MDX ,16998,WI,99000.0,carmax
258,2020 Acura,MDX ,46998,WI,7000.0,carmax
259,2014 Acura,RDX AWD,17998,WI,127000.0,carmax
260,2020 Acura,MDX ,45998,GA,4000.0,carmax
261,2018 Acura,MDX ,39998,WI,23000.0,carmax
262,2018 Acura,MDX ,31998,TN,45000.0,carmax
263,2017 Acura,MDX ,32998,WI,47000.0,carmax
264,2018 Acura,MDX ,31998,WI,60000.0,carmax
265,2018 Acura,RDX ,26998,AL,47000.0,carmax
266,2019 Acura,RDX ,36998,AL,30000.0,carmax
267,2020 Acura,RDX ,40998,AL,7000.0,carmax
268,2016 Acura,MDX ,27998,FL,56000.0,carmax
269,2020 Acura,RDX ,40998,FL,9000.0,carmax
270,2016 Acura,RDX ,27998,MS,19000.0,carmax
271,2017 Acura,MDX Advance,39998,AL,26000.0,carmax
272,2018 Acura,RDX ,28998,AL,28000.0,carmax
273,2015 Acura,RDX ,19998,FL,77000.0,carmax
274,2018 Acura,RDX ,29998,FL,24000.0,carmax
275,2019 Acura,RDX ,35998,FL,15000.0,carmax
