,year_make,model_trim,price,state,miles,source,type
95,2019 Acura,TLX ,27998,FL,14000.0,carmax,sedan
96,2010 Acura,TL ,17998,FL,66000.0,carmax,sedan
97,2020 Acura,ILX ,28998,FL,6000.0,carmax,sedan
98,2019 Acura,TLX ,28998,FL,19000.0,carmax,sedan
99,2016 Acura,TLX ,21998,FL,64000.0,carmax,sedan
100,2018 Acura,ILX ,20998,FL,30000.0,carmax,sedan
101,2020 Acura,TLX ,32998,FL,16000.0,carmax,sedan
102,2019 Acura,TLX ,25998,FL,26000.0,carmax,sedan
103,2014 Acura,TL ,19998,FL,74000.0,carmax,sedan
104,2015 Acura,TLX ,22998,OK,59000.0,carmax,sedan
105,2015 Acura,TLX ,17998,KS,112000.0,carmax,sedan
106,2020 Acura,TLX ,30998,KS,16000.0,carmax,sedan
107,2013 Acura,TL SH-AWD,19998,OK,74000.0,carmax,sedan
108,2015 Acura,TLX ,21998,OK,54000.0,carmax,sedan
109,2020 Acura,ILX ,28998,TX,14000.0,carmax,sedan
110,2020 Acura,TLX ,32998,TX,6000.0,carmax,sedan
111,2019 Acura,TLX ,29998,TX,34000.0,carmax,sedan
112,2010 Acura,TSX ,14998,CA,113000.0,carmax,sedan
113,2012 Acura,TL SH-AWD,17998,CA,85000.0,carmax,sedan
114,2010 Acura,TSX ,15998,CA,81000.0,carmax,sedan
115,2015 Acura,TLX ,20998,TX,86000.0,carmax,sedan
116,2010 Acura,TSX ,16998,WA,60000.0,carmax,sedan
117,2021 Acura,TLX SH-AWD A-Spec,46998,AZ,7000.0,carmax,sedan
118,2014 Acura,TL ,22998,WA,59000.0,carmax,sedan
119,2016 Acura,TLX ,22998,CO,76000.0,carmax,sedan
120,2015 Acura,TLX ,19998,CA,100000.0,carmax,sedan
121,2016 Acura,TLX ,21998,NV,67000.0,carmax,sedan
122,2020 Acura,ILX ,27998,WA,4000.0,carmax,sedan
123,2015 Acura,TLX ,20998,CA,68000.0,carmax,sedan
124,2017 Acura,TLX ,21998,OR,67000.0,carmax,sedan
125,2014 Acura,RLX ,17998,NV,100000.0,carmax,sedan
126,2015 Acura,TLX ,19998,CA,71000.0,carmax,sedan
127,2015 Acura,TLX ,22998,TX,58000.0,carmax,sedan
128,2020 Acura,TLX ,30998,TX,6000.0,carmax,sedan
129,2020 Acura,TLX ,26998,TX,50000.0,carmax,sedan
130,2019 Acura,TLX ,27998,OR,54000.0,carmax,sedan
131,2019 Acura,TLX ,27998,CA,21000.0,carmax,sedan
132,2016 Acura,ILX ,18998,CA,75000.0,carmax,sedan
133,2020 Acura,TLX ,28998,CA,33000.0,carmax,sedan
