,year_make,model_trim,price,state,miles,source
990,2019 Subaru ,missing,"$31,340",Location: Camelback Toyota ,30100.0,berkshire
991,2019 INFINITI ,missing,"$31,372",Location: Vandergriff Acura ,73708.0,berkshire
992,2019 Toyota ,missing,"$31,480",Location: Camelback Toyota ,41121.0,berkshire
993,2019 INFINITI ,missing,"$31,500",Location: Grapevine Ford ,66206.0,berkshire
994,2019 Mazda ,missing,"$31,500",Location: Joe Myers Imports ,35034.0,berkshire
995,2019 Honda ,missing,"$31,520",Location: Vandergriff Honda ,13274.0,berkshire
996,2019 Honda ,missing,"$31,572",Location: Delray Honda ,22930.0,berkshire
997,2019 Toyota ,missing,"$31,574",Location: Camelback Toyota ,45077.0,berkshire
998,2019 Nissan ,missing,"$31,632",Location: Camelback Subaru ,24071.0,berkshire
999,2019 Jeep ,missing,"$31,699",Location: Grand Prairie Ford ,33024.0,berkshire
1000,2019 Kia ,missing,"$31,776",Location: Delray Honda ,20296.0,berkshire
1001,2019 Toyota ,missing,"$31,787",Location: Camelback Toyota ,16511.0,berkshire
1002,2019 Toyota ,missing,"$31,799",Location: Toyota of Dallas ,57675.0,berkshire
1003,2019 Toyota ,missing,"$31,812",Location: Texas Toyota of Grapevine ,53793.0,berkshire
1004,2019 Honda ,missing,"$31,874",Location: Toyota of Richardson ,31829.0,berkshire
1005,2019 Toyota ,missing,"$31,888",Location: Camelback Toyota ,33181.0,berkshire
1006,2019 Toyota ,missing,"$31,896",Location: Toyota of Dallas ,43973.0,berkshire
1007,2019 Kia ,missing,"$31,899",Location: Camelback Hyundai ,43960.0,berkshire
1008,2019 Toyota ,missing,"$31,923",Location: Texas Toyota of Grapevine ,63972.0,berkshire
1009,2019 Subaru ,missing,"$31,966",Location: Reliable Chevrolet ,71424.0,berkshire
1010,2019 Toyota ,missing,"$31,983",Location: Texas Toyota of Grapevine ,57630.0,berkshire
1011,2019 INFINITI ,missing,"$31,984",Location: INFINITI of Scottsdale ,23978.0,berkshire
1012,2019 Toyota ,missing,"$31,985",Location: Seminole Toyota ,17584.0,berkshire
1013,2019 Toyota ,missing,"$31,990",Location: Vandergriff Toyota ,20870.0,berkshire
1014,2019 Chevrolet ,missing,"$31,991",Location: Reliable Chevrolet ,36258.0,berkshire
1015,2019 Mazda ,missing,"$31,995",Location: Gwinnett Place Ford ,44680.0,berkshire
1016,2019 Nissan ,missing,"$31,999",Location: Cerritos Nissan ,18314.0,berkshire
1017,2019 Honda ,missing,"$32,111",Location: Toyota of Dallas ,19193.0,berkshire
1018,2019 Toyota ,missing,"$32,125",Location: Joe Myers Toyota ,12085.0,berkshire
1019,2019 Honda ,missing,"$32,218",Location: Delray Honda ,30017.0,berkshire
1020,2019 Jeep ,missing,"$32,275",Location: Reliable Chevrolet ,43291.0,berkshire
1021,2019 Jeep ,missing,"$32,298",Location: Grand Prairie Ford ,22763.0,berkshire
1022,2019 LEXUS ,missing,"$32,300",Location: Superstition Springs Lexus ,15031.0,berkshire
1023,2019 Acura ,missing,"$32,301",Location: Acura Of Peoria ,56247.0,berkshire
1024,2019 Subaru ,missing,"$32,387",Location: Camelback Subaru ,44500.0,berkshire
1025,2019 Buick ,missing,"$32,400",Location: Elite Automotive Group ,19683.0,berkshire
1026,2019 Nissan ,missing,"$32,400",Location: Honda of Fort Worth ,17501.0,berkshire
1027,2019 INFINITI ,missing,"$32,461",Location: INFINITI of Scottsdale ,40708.0,berkshire
1028,2019 Toyota ,missing,"$32,495",Location: Seminole Toyota ,17833.0,berkshire
1029,2019 GMC ,missing,"$32,499",Location: Camelback Toyota ,30099.0,berkshire
1030,2019 Mercedes-Benz ,missing,"$32,500",Location: Grapevine Ford ,17777.0,berkshire
1031,2019 Honda ,missing,"$32,600",Location: Honda of Fort Worth ,65045.0,berkshire
1032,2019 Subaru ,missing,"$32,653",Location: Van Subaru ,13685.0,berkshire
1033,2019 Toyota ,missing,"$32,678",Location: Crest Nissan ,57176.0,berkshire
1034,2019 Honda ,missing,"$32,700",Location: Reliable Chevrolet ,37901.0,berkshire
1035,2019 Honda ,missing,"$32,714",Location: Delray Honda ,38077.0,berkshire
1036,2019 Nissan ,missing,"$32,731",Location: Crest Nissan ,45496.0,berkshire
1037,2019 Honda ,missing,"$32,750",Location: Husker Chevrolet ,15949.0,berkshire
1038,2019 Nissan ,missing,"$32,761",Location: Midway Nissan ,16064.0,berkshire
1039,2019 Dodge ,missing,"$32,785",Location: Seminole Chevrolet ,42482.0,berkshire
1040,2019 Jeep ,missing,"$32,791",Location: Seminole Chevrolet ,40158.0,berkshire
1041,2019 Ford ,missing,"$32,800",Location: Village Pointe Toyota ,24948.0,berkshire
1042,2019 LEXUS ,missing,"$32,850",Location: Superstition Springs Lexus ,19626.0,berkshire
1043,2019 Toyota ,missing,"$32,853",Location: Texas Toyota of Grapevine ,59055.0,berkshire
1044,2019 Toyota ,missing,,Location: Texas Toyota of Grapevine ,60708.0,berkshire
1045,2019 Ford ,missing,"$32,881",Location: Surprise Ford ,14120.0,berkshire
1046,2019 Mazda ,missing,"$32,900",Location: Joe Myers Imports ,30470.0,berkshire
1047,2019 INFINITI ,missing,"$32,917",Location: INFINITI of Peoria ,23225.0,berkshire
1048,2019 BMW ,missing,"$32,935",Location: Texas Toyota of Grapevine ,52812.0,berkshire
1049,2019 Chevrolet ,missing,"$32,988",Location: Van Chevrolet ,28800.0,berkshire
1050,2019 Ford ,missing,"$32,991",Location: INFINITI on Camelback ,19326.0,berkshire
1051,2019 Subaru ,missing,"$32,991",Location: Reliable Subaru ,42727.0,berkshire
1052,2019 Jeep ,missing,"$32,995",Location: Joe Myers Toyota ,34569.0,berkshire
1053,2019 LEXUS ,missing,"$32,995",Location: Seminole Toyota ,47244.0,berkshire
1054,2019 Toyota ,missing,"$32,997",Location: Joe Myers Toyota ,24659.0,berkshire
1055,2019 Volkswagen ,missing,"$32,999",Location: Orlando VW South ,13312.0,berkshire
1056,2019 GMC ,missing,"$33,000",Location: Grapevine Ford ,34110.0,berkshire
1057,2019 Honda ,missing,"$33,091",Location: Vandergriff Toyota ,28049.0,berkshire
1058,2019 Cadillac ,missing,"$33,099",Location: INFINITI on Camelback ,16873.0,berkshire
1059,2019 GMC ,missing,"$33,122",Location: Toyota of Dallas ,47034.0,berkshire
1060,2019 Ford ,missing,"$33,438",Location: Mall of Georgia Ford ,34003.0,berkshire
1061,2019 Acura ,missing,"$33,451",Location: Vandergriff Acura ,29967.0,berkshire
1062,2019 Honda ,missing,"$33,520",Location: Vandergriff Honda ,19608.0,berkshire
1063,2019 Honda ,missing,"$33,524",Location: Toyota of Dallas ,45928.0,berkshire
1064,2019 Toyota ,missing,"$33,574",Location: Toyota of Richardson ,8117.0,berkshire
1065,2019 Subaru ,missing,"$33,575",Location: Delray Honda ,25800.0,berkshire
1066,2019 LEXUS ,missing,"$33,598",Location: Vandergriff Acura ,34350.0,berkshire
1067,2019 Nissan ,missing,"$33,599",Location: Cerritos Nissan ,47170.0,berkshire
1068,2019 Toyota ,missing,"$33,736",Location: Texas Toyota of Grapevine ,53942.0,berkshire
1069,2019 Toyota ,missing,"$33,788",Location: Camelback Ford ,31543.0,berkshire
1070,2019 LEXUS ,missing,"$33,797",Location: South County Lexus ,32038.0,berkshire
1071,2019 Subaru ,missing,"$33,874",Location: Toyota of Richardson ,67316.0,berkshire
1072,2019 Toyota ,missing,"$33,878",Location: Vandergriff Toyota ,20821.0,berkshire
1073,2019 Toyota ,missing,"$33,932",Location: Texas Toyota of Grapevine ,59426.0,berkshire
1074,2019 INFINITI ,missing,"$33,991",Location: INFINITI on Camelback ,39256.0,berkshire
1075,2019 Toyota ,missing,"$33,995",Location: Toyota of Deerfield Beach ,50207.0,berkshire
1076,2019 Toyota ,missing,"$33,995",Location: Seminole Toyota ,38499.0,berkshire
1077,2019 Toyota ,missing,"$33,995",Location: Reliable Toyota ,63662.0,berkshire
1078,2019 BMW ,missing,"$33,997",Location: Joe Myers Toyota ,21374.0,berkshire
1079,2019 Acura ,missing,"$33,998",Location: Vandergriff Acura ,32246.0,berkshire
1080,2019 Honda ,missing,"$33,999",Location: Bell Honda ,22151.0,berkshire
1081,2019 Toyota ,missing,"$34,047",Location: Toyota of Dallas ,45704.0,berkshire
1082,2019 Toyota ,missing,"$34,257",Location: Toyota of Richardson ,16727.0,berkshire
