,year_make,model_trim,price,state,miles,source,type
90, 2016 Acura ILX, 4dr Sdn ,19987,CA,30000.0,autonation,sedan
91, 2019 Acura ILX, Sedan w/Technology/A-Spec Pkg ,27588,CA,14000.0,autonation,sedan
92, 2014 Acura ILX, 4dr Sdn 2.0L Tech Pkg ,12796,CA,122000.0,autonation,sedan
93, 2015 Acura TLX, 4dr Sdn FWD V6 Advance ,20300,CA,59000.0,autonation,sedan
94, 2019 Acura TLX, 3.5L FWD w/A-Spec Pkg ,34896,CA,23000.0,autonation,sedan
95, 2017 Alfa Romeo Giulia Quadrifoglio, RWD ,50481,FL,23000.0,autonation,sedan
96, 2017 Alfa Romeo Giulia, RWD ,24570,FL,36000.0,autonation,sedan
97, 2018 Alfa Romeo Giulia, Ti RWD ,29990,FL,26000.0,autonation,sedan
98, 2018 Alfa Romeo Giulia, Ti Lusso RWD ,26991,TX,37000.0,autonation,sedan
99, 2017 Alfa Romeo Giulia Quadrifoglio, RWD ,46991,TX,47000.0,autonation,sedan
100, 2017 Alfa Romeo Giulia, Ti RWD ,25245,AZ,31000.0,autonation,sedan
101, 2018 Alfa Romeo Giulia, AWD ,32551,WA,14000.0,autonation,sedan
102, 2017 Alfa Romeo Giulia, RWD ,26999,NV,18000.0,autonation,sedan
103, 2017 Alfa Romeo Giulia, Ti AWD ,29992,WA,22000.0,autonation,sedan
104, 2018 Alfa Romeo Giulia, AWD ,27990,WA,23000.0,autonation,sedan
105, 2017 Alfa Romeo Giulia, Ti RWD ,28590,CA,32000.0,autonation,sedan
106, 2017 Alfa Romeo Giulia, RWD ,25952,CA,26000.0,autonation,sedan
107, 2019 Alfa Romeo Giulia, Quadrifoglio RWD ,62998,CA,7000.0,autonation,sedan
108, 2018 Audi S4, 3.0 TFSI Premium Plus quattro AWD ,41470,MD,32000.0,autonation,sedan
109, 2018 Audi S5 Sportback, 3.0 TFSI Premium Plus ,45000,MD,29000.0,autonation,sedan
110, 2019 Audi RS 3, 2.5 TFSI ,60970,MD,24000.0,autonation,sedan
111, 2019 Audi S5 Sportback, Premium Plus 3.0 TFSI quattro ,43935,MD,45000.0,autonation,sedan
112, 2012 Audi A8 L, 4dr Sdn ,17999,MD,104000.0,autonation,sedan
113, 2015 Audi A3, 4dr Sdn quattro 2.0T Premium ,16994,NY,64000.0,autonation,sedan
114, 2017 Audi A3 Sedan, 2.0 TFSI Premium quattro AWD ,24952,NY,18000.0,autonation,sedan
115, 2018 Audi A3 Sedan, 2.0 TFSI Premium FWD ,26495,NY,17000.0,autonation,sedan
116, 2019 Audi S5 Sportback, Premium Plus 3.0 TFSI quattro ,52950,NY,19000.0,autonation,sedan
117, 2013 Audi A8 L, 4dr Sdn 3.0L ,23995,OH,71000.0,autonation,sedan
118, 2017 Audi A3 Sedan, 2.0 TFSI Premium quattro AWD ,24590,GA,41000.0,autonation,sedan
119, 2020 Audi A6, Premium Plus 55 TFSI quattro ,51992,GA,17000.0,autonation,sedan
120, 2016 Audi A6, 4dr Sdn quattro 2.0T Premium Plus ,26995,IL,35000.0,autonation,sedan
121, 2018 Audi A3 Sedan, 2.0 TFSI Premium quattro AWD ,25320,IL,21000.0,autonation,sedan
122, 2018 Audi A3 Sedan, 2.0 TFSI Premium quattro AWD ,26390,IL,15000.0,autonation,sedan
123, 2018 Audi A3 Sedan, 2.0 TFSI Premium quattro AWD ,25495,IL,25000.0,autonation,sedan
124, 2017 Audi A4, 2.0 TFSI Auto Premium Plus quattro AWD ,26310,IL,45000.0,autonation,sedan
125, 2019 Audi A3 Sedan, Premium Plus 45 TFSI quattro ,29305,IL,27000.0,autonation,sedan
126, 2019 Audi A4, Premium Plus 45 TFSI quattro ,36795,IL,24000.0,autonation,sedan
127, 2015 Audi A4, 4dr Sdn Auto quattro 2.0T Premium Plus ,21905,IL,48000.0,autonation,sedan
128, 2015 Audi A6, 4dr Sdn quattro 2.0T Premium Plus ,19995,IL,73000.0,autonation,sedan
129, 2019 Audi A8 L, 55 TFSI quattro ,62490,IL,29000.0,autonation,sedan
130, 2019 Audi A5 Sportback, Premium Plus 45 TFSI quattro ,41305,IL,6000.0,autonation,sedan
131, 2016 Audi A6, 4dr Sdn FrontTrak 2.0T Premium ,24250,IL,41000.0,autonation,sedan
132, 2012 Audi A7, 4dr HB quattro 3.0 Prestige ,21952,GA,98000.0,autonation,sedan
133, 2016 Audi A3, 4dr Sdn FWD 1.8T Premium ,19950,GA,63000.0,autonation,sedan
134, 2015 Audi A4, 4dr Sdn CVT FrontTrak 2.0T Premium ,13999,GA,100000.0,autonation,sedan
135, 2018 Audi A4, 2.0 TFSI ultra Premium S Tronic FWD ,29958,GA,30000.0,autonation,sedan
136, 2014 Audi A4, 4dr Sdn CVT FrontTrak 2.0T Premium ,14551,FL,85000.0,autonation,sedan
137, 2017 Audi A3 Sedan, 2.0 TFSI Premium quattro AWD ,21725,FL,29000.0,autonation,sedan
138, 2018 Audi S5 Sportback, 3.0 TFSI Premium Plus ,45995,TN,21000.0,autonation,sedan
139, 2019 Audi A8 L, 55 TFSI quattro ,61995,TN,26000.0,autonation,sedan
140, 2015 Audi A3, 4dr Sdn quattro 2.0T Premium ,16991,TN,89000.0,autonation,sedan
141, 2014 Audi A6, 4dr Sdn quattro 3.0T Premium Plus ,26995,FL,94000.0,autonation,sedan
142, 2019 Audi A3 Sedan, Premium 40 TFSI ,25590,FL,28000.0,autonation,sedan
143, 2018 Audi A3 Sedan, 2.0 TFSI Tech Premium FWD ,21599,FL,46000.0,autonation,sedan
144, 2013 Audi A4, 4dr Sdn Auto quattro 2.0T Premium Plus ,11991,FL,114000.0,autonation,sedan
145, 2013 Audi A6, 4dr Sdn quattro 2.0T Premium Plus ,14995,FL,100000.0,autonation,sedan
146, 2014 Audi A4, 4dr Sdn Auto quattro 2.0T Premium ,15495,FL,66000.0,autonation,sedan
147, 2014 Audi RS 7, 4dr HB Prestige ,55840,FL,59000.0,autonation,sedan
148, 2018 Audi A3 Sedan, 2.0 TFSI Premium FWD ,23995,FL,41000.0,autonation,sedan
149, 2018 Audi A5 Sportback, 2.0 TFSI Premium Plus ,33417,FL,47000.0,autonation,sedan
150, 2014 Audi A4, 4dr Sdn CVT FrontTrak 2.0T Premium ,12850,FL,110000.0,autonation,sedan
151, 2014 Audi A6, 4dr Sdn quattro 3.0T Premium Plus ,29490,FL,54000.0,autonation,sedan
152, 2016 Audi A4, CVT FrontTrak 2.0T Premium ,18995,FL,51000.0,autonation,sedan
153, 2020 Audi S4, Premium Plus 3.0 TFSI quattro ,53991,FL,27000.0,autonation,sedan
154, 2021 Audi A6, Premium Plus 45 TFSI quattro ,49777,FL,14000.0,autonation,sedan
155, 2016 Audi A4, Auto quattro 2.0T Premium Plus ,22995,FL,38000.0,autonation,sedan
156, 2018 Audi A4, 2.0 TFSI ultra Premium S Tronic FWD ,25995,FL,42000.0,autonation,sedan
157, 2014 Audi S8, 4dr Sdn ,36991,FL,67000.0,autonation,sedan
158, 2015 Audi A3, 4dr Sdn FWD 1.8T Premium ,16620,FL,66000.0,autonation,sedan
159, 2018 Audi A3 Sedan, 2.0 TFSI Premium FWD ,21987,FL,25000.0,autonation,sedan
160, 2010 Audi A4, 4dr Sdn Auto quattro 2.0T Premium ,9490,FL,107000.0,autonation,sedan
161, 2014 Audi S8, 4dr Sdn ,35990,FL,86000.0,autonation,sedan
162, 2013 Audi A6, 4dr Sdn quattro 2.0T Premium Plus ,16780,FL,98000.0,autonation,sedan
163, 2017 Audi A3 Sedan, 2.0 TFSI Premium quattro AWD ,19616,FL,85000.0,autonation,sedan
164, 2014 Audi A4, 4dr Sdn Auto quattro 2.0T Premium Plus ,14460,FL,103000.0,autonation,sedan
165, 2014 Audi A4, 4dr Sdn Auto quattro 2.0T Prestige ,18998,FL,83000.0,autonation,sedan
166, 2014 Audi A6, 4dr Sdn FrontTrak 2.0T Premium Plus ,13635,FL,106000.0,autonation,sedan
167, 2017 Audi A4, 2.0 TFSI Auto Premium FWD ,26021,FL,27000.0,autonation,sedan
168, 2019 Audi A4, Premium Plus 45 TFSI quattro ,35995,FL,12000.0,autonation,sedan
169, 2019 Audi A4, Premium Plus 40 TFSI ,30295,FL,15000.0,autonation,sedan
170, 2017 Audi A4, 2.0 TFSI Auto Premium FWD ,27495,FL,13000.0,autonation,sedan
171, 2016 Audi A6, 4dr Sdn FrontTrak 2.0T Premium Plus ,26498,FL,21000.0,autonation,sedan
172, 2016 Audi S3, 4dr Sdn quattro Premium Plus ,28280,FL,55000.0,autonation,sedan
173, 2017 Audi A4, 2.0 TFSI Auto Premium Plus FWD ,26452,FL,23000.0,autonation,sedan
174, 2017 Audi allroad, 2.0 TFSI Premium Plus ,37498,FL,6000.0,autonation,sedan
175, 2015 Audi A3, 4dr Sdn FWD 1.8T Premium ,13790,FL,87000.0,autonation,sedan
176, 2015 Audi A3, 4dr Sdn FWD 1.8T Premium ,15452,FL,75000.0,autonation,sedan
